vuosi,Linnoitus,Valli,Siikaniemi,Pantsarlahti,Lampuodit,muut,Yhteensa,korjaus,Arvioitu hk-tieto
1636,,,,,,,1641,,1641
1637,555,501,565,90,39,,1750,,1750
1638,604,535,673,131,33,21,1997,,1997
1639,678,578,679,90,44,,2069,,2069
1640,,,,,,,2126,,2126
1641,,,,,,,,,1923
1642,606,497,477,98,41,,1719,-407,1719
1643,602,612,568,62,46,,1890,,1890
1644,535,610,515,19,35,,1714,,1714
1645,,,,,,,1537,,1537
1646,501,572,454,46,48,172,1793,,1793
1647,500,580,497,42,38,,1657,,1657
1648,,,,,,,,,1589
1649,515,528,405,72,,,1520,-137,1520
1650,547,515,418,71,,,1551,,1551
1651,523,506,330,19,43,180,1601,,1607
1652,,,,,,,,,1613
1653,,,,,,,,,1624
1654,,,,,,,,,1636
1655,,,,,,,1647,46,1647
1656,470,503,420,19,108,78,1598,,1598
1657,,,,,,,1694,,1694
1658,438,626,414,32,118,,1628,,1628
1659,,,,,,,,,1635
1660,,,,,,,,,1642
1661,,,,,,,,,1648
1662,,,,,,,,,1655
1663,529,597,486,18,,32,1662,34,1662
1664,,,,,,,,,1652
1665,504,514,440,29,122,32,1641,-21,1641
1666,,,,,,,,,1625
1667,,,,,,,,,1609
1668,,,,,,,,,1593
1669,,,,,,,,,1577
1670,,,,,,,,,1561
1671,,,,,,,,,1545
1672,,,,,,,,,1529
1673,,,,,,,,,1513
1674,,,,,,,,,1497
1675,490,521,302,27,141,,1481,-160,1481
1676,500,524,318,40,143,,1525,,1525
1677,474,520,276,31,134,,1435,,1435
1678,467,387,317,35,132,,1338,,1338
1679,434,372,302,36,148,,1292,,1292
1680,424,382,354,36,163,,1359,,1359
1681,,,,,,,,,1385
1682,446,428,315,38,183,,1410,51,1410
1683,,,,,,,,,1405
1684,,,,,,,,,1399
1685,,,,,,,,,1394
1686,,,,,,,,,1389
1687,,,,,,,,,1383
1688,466,431,268,5,208,,1378,-32,1378
1689,,,,,,,,,1405
1690,500,447,289,3,193,,1432,54,1432
1691,,,,,,,,,1405
1692,,,,,,,,,1377
1693,546,473,327,4,,,1350,-82,1350
1694,,,,,,,,,1398
1695,,,,,,,,,1446
1696,,,,,,,,,1494
1697,541,501,423,10,67,,1542,192,1542
1698,,,,,,,,,1422
1699,518,405,401,9,,,1333,-209,1333
1700,560,403,384,9,,,1356,,1356
1701,517,413,394,,,,1324,,1324
1702,549,384,386,10,,,1329,,1329
1703,,,,,,,,,1305
1704,,,,,,,,,1281
1705,,,,,,,,,1257
1706,503,335,395,,,,1233,-96,1233
1707,,,,,,,,,1183
1708,461,306,366,,,,1133,-100,1133
